CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
50,META,50450,PUERTO CONCORDIA,585.78,144.44,147.16,299.00,769.00,943.00,363.00,439.00,182.00,75.00,82.00,76.00,91.00,70.00,49.00,82.00,50.25,63.87,77.84,35.02
50,META,50568,PUERTO GAITÁN,,22.12,111.41,147.00,641.00,"1,518.00",168.00,214.00,231.00,386.00,212.00,181.00,122.00,86.00,7.00,3.00,,,,
50,META,50577,PUERTO LLERAS,"1,164.03",195.83,45.78,102.00,171.00,"1,261.00","1,511.00",578.00,494.00,134.00,30.00,13.00,20.00,31.00,14.00,8.00,13.35,27.39,24.15,9.32
50,META,50573,PUERTO LÓPEZ,,,,,0.27,,,,,,,,,,,,,,,
50,META,50590,PUERTO RICO,"1,892.82","1,736.93","1,701.20","2,426.00","2,437.00","6,393.00","7,040.00","3,519.00","2,658.00",938.00,860.00,757.00,883.00,"1,064.00","1,101.00","1,616.00","1,619.74","1,592.76","1,773.19","1,081.90"
50,META,50683,SAN JUAN DE ARAMA,,19.63,35.26,17.00,17.02,18.00,49.00,17.00,116.00,39.00,27.00,87.00,48.00,29.00,91.00,121.00,155.83,48.40,70.28,46.09
50,META,50689,SAN MARTÍN,,,,3.00,7.10,161.00,8.00,23.00,1.00,,,,19.00,,,,,,,
50,META,50370,URIBE,"1,182.21","1,168.55",880.21,452.00,481.00,632.00,264.00,32.00,61.00,6.00,8.00,36.00,72.00,110.00,49.00,182.00,162.77,202.29,108.77,78.44
50,META,50711,VISTAHERMOSA,769.80,736.47,"1,283.23",929.00,"1,357.00","3,473.00","4,441.00","2,289.00","3,792.00","1,487.00",745.00,521.00,524.00,908.00,806.00,"1,337.00","1,353.19","1,451.32","1,473.05",856.63
52,NARIÑO,52019,ALBÁN (San José),209.00,,,,,,,,,,,,,,,,,,,
52,NARIÑO,52036,ANCUYA,,,,,,,43.00,,17.00,2.00,3.00,,,,,3.00,21.00,24.25,45.60,24.63
52,NARIÑO,52079,BARBACOAS,383.32,"1,769.58",713.70,"2,187.00","2,767.00","1,469.00","1,920.00","1,460.00","1,586.00","3,080.00","2,928.00","3,433.00","3,193.00","1,815.00","1,511.00","1,330.00","2,453.49","3,359.37","4,590.50","3,516.29"
52,NARIÑO,52110,BUESACO,,,,,,,,,,,,,,4.00,,,,,,
52,NARIÑO,52207,CONSACÁ,,,,,,,5.00,,,,,,,,,,,,,
52,NARIÑO,52210,CONTADERO,,,2.00,,,,,,,,,,,,,,,,,
52,NARIÑO,52215,CÓRDOBA,,,1.00,,,,,,,,,,,,,,,,,
52,NARIÑO,52227,CUMBAL,,,,,,,,2.00,,,,,,,,,,,,
52,NARIÑO,52233,CUMBITARA,,11.11,3.00,140.00,301.00,127.20,329.00,483.00,452.00,250.00,451.00,221.00,194.00,97.00,115.00,107.00,209.49,527.30,666.80,778.23
52,NARIÑO,52250,EL CHARCO,,665.51,984.49,798.00,699.00,649.00,741.00,741.00,"1,728.00","2,202.00","1,130.00",748.00,"1,080.00",702.00,"1,020.00","1,263.00","1,417.79","2,819.91","4,630.67","5,147.73"
