CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,2009,2010,2011,2012,2013,2014
68,SANTANDER,68573,PUERTO PARRA,37.47,2.49,,,,
68,SANTANDER,68745,SIMACOTA,14.13,4.31,,,,
68,SANTANDER,68773,SUCRE,413.13,,5.24,,,
76,VALLE DEL CAUCA,76100,BOLÍVAR,,,,18.79,58.32,11.31
76,VALLE DEL CAUCA,76109,BUENAVENTURA,,,718.69,892.83,"1,993.44",410.26
76,VALLE DEL CAUCA,76126,CALIMA,,,,63.59,116.17,66.07
76,VALLE DEL CAUCA,76233,DAGUA,,,,10.96,101.00,12.14
76,VALLE DEL CAUCA,76250,EL DOVIO,,,,,,11.30
86,PUTUMAYO,86001,MOCOA,,65.81,,46.45,171.80,44.16
86,PUTUMAYO,86320,ORITO,918.96,"2,702.14",903.79,"1,373.24","1,631.45","1,138.05"
86,PUTUMAYO,86568,PUERTO ASÍS,449.44,"1,369.60","1,165.43","1,027.30","1,398.39","3,069.73"
86,PUTUMAYO,86569,PUERTO CAICEDO,486.27,779.68,"2,143.78","1,040.62","1,970.70",942.66
86,PUTUMAYO,86571,PUERTO GUZMÁN,"1,394.20","3,922.41","2,189.66","2,000.81","1,470.62",919.62
86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,113.01,"1,211.73",803.93,168.55,396.69,226.69
86,PUTUMAYO,86755,SAN FRANCISCO,,,,,19.78,
86,PUTUMAYO,86757,SAN MIGUEL,,,,,,254.61
86,PUTUMAYO,86865,VALLE DEL GUAMUEZ,159.61,451.28,"1,991.45",486.50,717.84,"4,131.38"
86,PUTUMAYO,86885,VILLAGARZÓN,255.25,931.16,282.16,360.06,977.37,325.52
95,GUAVIARE,95001,SAN JOSÉ DEL GUAVIARE,"5,634.13","8,017.51","3,347.40","2,766.32","2,124.50","2,393.66"
95,GUAVIARE,95015,CALAMAR,"1,849.47","2,653.24","1,538.11","1,528.90",698.82,"1,567.67"
95,GUAVIARE,95025,EL RETORNO,"1,706.73","2,422.90","1,593.56","1,876.78","1,172.29","1,170.15"
95,GUAVIARE,95200,MIRAFLORES,"3,393.21","4,538.94","2,438.18","4,916.29","2,800.50","3,346.55"
99,VICHADA,99773,CUMARIBO,"1,699.11","1,425.50","1,014.09",51.07,,
